Comment,Designator,Footprint,LCSC,Quantity
100uF 10V,C4,C_1210_3225Metric,C15008,1
1nF,C79,C_0402_1005Metric,C1523,1
1uF,C80,C_0402_1005Metric,C52923,1
4.7k,"R14,R15",R_0402_1005Metric,C25900,2
10k,"R95,R1,R2,R5,R9,R11,R12,R39,R41",R_0402_1005Metric,C25744,9
TPS22918DBVR,U19,SOT-23-6,C131941,1
100n,"C1,C2,C67,C70,C71,C72,C73,C74,C76,C77,C78",C_0402_1005Metric,C1525,11
47uF,C3,C_0805_2012Metric,C16780,1
10uF,"C5,C15",C_0603_1608Metric,C19702,2
100nF,C6,C_0402_1005Metric,C1525,1
100pF,C7,C_0402_1005Metric,C1546,1
22uF,C14,C_0603_1608Metric,C59461,1
15p,"C63,C64",C_0402_1005Metric,C1548,2
4.7u,"C65,C66",C_0402_1005Metric_small_pads,C23733,2
4.7u,"C68,C69",C_0402_1005Metric,C23733,2
10u,C75,C_0603_1608Metric,C19702,1
LED,"D1,D3",LED_0603_1608Metric,C2290,2
NSR0320,D4,D_SOD-323F,C48192,1
BLM21PG600SN1D,FB1,L_0805_2012Metric,C18305,1
Conn_Coaxial,J2,SMA_Amphenol_132134_Vertical,C3174425,1
Screw_Terminal_01x10,J3,"TerminalBlock_Phoenix_MPT-0,5-10-2.54_1x10_P2.54mm_Horizontal",C474928,1
USB_C_Receptacle_USB2.0_16P,J12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
SWD Port,J22,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,C160389,1
XFL4015-471MEC,L1,IND-SMD_L4.0-W4.0_XFL4020-102MEB,C18221164,1
120nH,L2,L_0603_1608Metric,C86138,1
3.3u,L3,L_pol_2016,C42411119,1
162k,R3,R_0402_1005Metric,C54068,1
510k,R4,R_0402_1005Metric,C11616,1
22,"R7,R8",R_0402_1005Metric,C25092,2
1k,"R10,R13,R80,R93",R_0402_1005Metric,C11702,4
5.1k,"R26,R27",R_0402_1005Metric,C25905,2
33,R94,R_0402_1005Metric,C25105,1
KMR2,"SW1,SW2",BTN_KMR2_4.6X2.8,C72443,2
TPS62085RLTT,U2,VSON-7_L2.0-W2.0-P0.5-TL,C2070694,1
E22-400M30S,U3,WIRELM-SMD_E22-400M30S,C411292,1
W25Q128JVS,U11,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
RP2350_60QFN,U18,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118,1
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
