Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,100uF 10V,C_1210_3225Metric,208.415000,-114.000000,0.000000,bottom
C79,1nF,C_0402_1005Metric,201.200000,-112.500000,180.000000,bottom
C80,1uF,C_0402_1005Metric,204.900000,-116.350000,180.000000,bottom
R14,4.7k,R_0402_1005Metric,204.910000,-95.600000,180.000000,bottom
R15,4.7k,R_0402_1005Metric,207.450000,-96.000000,180.000000,bottom
R95,10k,R_0402_1005Metric,201.200000,-114.900000,180.000000,bottom
U19,TPS22918DBVR,SOT-23-6,204.100000,-113.600000,90.000000,bottom
C1,100n,C_0402_1005Metric,177.600000,-115.600000,180.000000,top
C2,100n,C_0402_1005Metric,240.300000,-89.800000,-90.000000,top
C3,47uF,C_0805_2012Metric,181.300000,-115.600000,0.000000,top
C5,10uF,C_0603_1608Metric,203.100000,-115.700000,-90.000000,top
C6,100nF,C_0402_1005Metric,205.670000,-115.500000,-90.000000,top
C7,100pF,C_0402_1005Metric,180.200000,-86.400000,180.000000,top
C14,22uF,C_0603_1608Metric,237.658500,-105.161500,0.000000,top
C15,10uF,C_0603_1608Metric,236.858500,-107.461500,90.000000,top
C63,15p,C_0402_1005Metric,221.336821,-96.923396,135.000000,top
C64,15p,C_0402_1005Metric,219.498345,-100.458930,-90.000000,top
C65,4.7u,C_0402_1005Metric_small_pads,231.519159,-100.600351,-90.000000,top
C66,4.7u,C_0402_1005Metric_small_pads,232.509108,-100.600351,-90.000000,top
C67,100n,C_0402_1005Metric,227.290660,-103.598484,-90.000000,top
C68,4.7u,C_0402_1005Metric,231.817001,-102.792382,180.000000,top
C69,4.7u,C_0402_1005Metric,227.630071,-93.034309,90.000000,top
C70,100n,C_0402_1005Metric,221.531276,-99.734146,-135.000000,top
C71,100n,C_0402_1005Metric,220.860000,-95.080000,135.000000,top
C72,100n,C_0402_1005Metric,225.579462,-92.680755,90.000000,top
C73,100n,C_0402_1005Metric,230.281722,-93.762629,0.000000,top
C74,100n,C_0402_1005Metric,234.489007,-96.923396,0.000000,top
C75,10u,C_0603_1608Metric,229.500000,-104.350000,0.000000,top
C76,100n,C_0402_1005Metric,229.700000,-103.120000,0.000000,top
C77,100n,C_0402_1005Metric,226.371421,-103.598484,-90.000000,top
C78,100n,C_0402_1005Metric,221.973217,-103.075225,-90.000000,top
D1,LED,LED_0603_1608Metric,213.900000,-89.500000,0.000000,top
D3,LED,LED_0603_1608Metric,230.420000,-107.580000,90.000000,top
D4,NSR0320,D_SOD-323F,229.500000,-91.642500,-90.000000,top
FB1,BLM21PG600SN1D,L_0805_2012Metric,209.500000,-115.700000,180.000000,top
J2,Conn_Coaxial,SMA_Amphenol_132134_Vertical,169.200000,-88.610000,0.000000,top
J12,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,241.480000,-98.890000,90.000000,top
J22,SWD Port,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,225.860000,-107.120000,180.000000,top
L1,XFL4015-471MEC,IND-SMD_L4.0-W4.0_XFL4020-102MEB,233.858500,-106.361500,90.000000,top
L2,120nH,L_0603_1608Metric,177.900000,-85.200000,0.000000,top
L3,3.3u,L_pol_2016,234.064743,-100.741773,-90.000000,top
R1,10k,R_0402_1005Metric,224.670000,-88.980000,-90.000000,top
R2,10k,R_0402_1005Metric,229.890000,-88.700000,-90.000000,top
R3,162k,R_0402_1005Metric,240.658500,-105.161500,180.000000,top
R4,510k,R_0402_1005Metric,241.458500,-107.461500,90.000000,top
R5,10k,R_0402_1005Metric,226.590000,-92.660000,90.000000,top
R7,22,R_0402_1005Metric,234.489007,-98.903295,0.000000,top
R8,22,R_0402_1005Metric,234.489007,-97.913345,0.000000,top
R9,10k,R_0402_1005Metric,223.990000,-91.180000,0.000000,top
R10,1k,R_0402_1005Metric,231.710000,-94.270000,90.000000,top
R11,10k,R_0402_1005Metric,218.300000,-104.000000,-90.000000,top
R12,10k,R_0402_1005Metric,224.920000,-104.020000,180.000000,top
R13,1k,R_0402_1005Metric,216.400000,-89.500000,180.000000,top
R26,5.1k,R_0402_1005Metric,235.663500,-100.701500,90.000000,top
R27,5.1k,R_0402_1005Metric,235.663500,-94.911500,-90.000000,top
R39,10k,R_0402_1005Metric,225.902477,-89.870000,90.000000,top
R41,10k,R_0402_1005Metric,226.850000,-89.879386,90.000000,top
R80,1k,R_0402_1005Metric,230.400000,-105.580000,180.000000,top
R93,1k,R_0402_1005Metric,220.877202,-99.080072,-135.000000,top
R94,33,R_0402_1005Metric,233.654621,-102.792382,180.000000,top
SW1,KMR2,BTN_KMR2_4.6X2.8,219.100000,-87.320001,90.000000,top
SW2,KMR2,BTN_KMR2_4.6X2.8,222.400000,-87.320000,90.000000,top
U2,TPS62085RLTT,VSON-7_L2.0-W2.0-P0.5-TL,239.158500,-107.461500,180.000000,top
U3,E22-400M30S,WIRELM-SMD_E22-400M30S,194.250000,-100.750000,-90.000000,top
U11,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,235.100000,-90.410000,0.000000,top
U18,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,226.612799,-98.549742,-90.000000,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,218.225551,-97.913345,-135.000000,top
